src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,mean_packet_size,min_packet_size,max_packet_size,flow_duration,mean_iat,min_iat,max_iat,start_time,label
192.168.1.4,13.204.106.34,8840,443,TCP,101,9277,91.85,54,1304,370.8357,3.708357,0,20.583878,1779688150,YouTube
13.204.106.34,192.168.1.4,443,8840,TCP,155,516291,3330.91,54,27224,370.7392,2.407397,2.00E-06,20.583879,1779688151,YouTube
192.168.1.6,224.0.0.251,5353,5353,UDP,20,2060,103,103,103,380.3601,20.018951,19.934904,20.082397,1779688152,YouTube
192.168.1.4,40.74.78.229,9204,443,TCP,1,54,54,54,54,0,0,0,0,1779688154,YouTube
192.168.1.4,23.100.109.78,9206,443,TCP,1,54,54,54,54,0,0,0,0,1779688154,YouTube
192.168.1.4,4.247.188.224,8841,443,TCP,20,10654,532.7,54,1304,0.9444,0.049707,0,0.245646,1779688154,YouTube
4.247.188.224,192.168.1.4,443,8841,TCP,13,5424,417.23,54,3804,0.8502,0.070846,2.00E-06,0.149061,1779688155,YouTube
13.107.5.93,192.168.1.4,443,9203,TCP,1,54,54,54,54,0,0,0,0,1779688158,YouTube
192.168.1.4,192.168.1.1,64110,53,UDP,1,82,82,82,82,0,0,0,0,1779688167,YouTube
192.168.1.4,192.168.1.1,62472,53,UDP,1,82,82,82,82,0,0,0,0,1779688167,YouTube
192.168.1.4,192.168.1.1,61158,53,UDP,1,82,82,82,82,0,0,0,0,1779688167,YouTube
192.168.1.4,192.168.1.1,53052,53,UDP,1,96,96,96,96,0,0,0,0,1779688167,YouTube
192.168.1.4,192.168.1.1,50528,53,UDP,1,96,96,96,96,0,0,0,0,1779688167,YouTube
192.168.1.4,192.168.1.1,62833,53,UDP,1,96,96,96,96,0,0,0,0,1779688167,YouTube
192.168.1.1,192.168.1.4,53,62472,UDP,1,110,110,110,110,0,0,0,0,1779688167,YouTube
192.168.1.1,192.168.1.4,53,61158,UDP,1,98,98,98,98,0,0,0,0,1779688167,YouTube
192.168.1.1,192.168.1.4,53,64110,UDP,1,142,142,142,142,0,0,0,0,1779688167,YouTube
192.168.1.4,192.168.1.1,60924,53,UDP,1,75,75,75,75,0,0,0,0,1779688168,YouTube
192.168.1.4,192.168.1.1,50039,53,UDP,1,75,75,75,75,0,0,0,0,1779688168,YouTube
192.168.1.4,192.168.1.1,58054,53,UDP,1,75,75,75,75,0,0,0,0,1779688168,YouTube
192.168.1.1,192.168.1.4,53,53052,UDP,1,186,186,186,186,0,0,0,0,1779688168,YouTube
192.168.1.1,192.168.1.4,53,50528,UDP,1,157,157,157,157,0,0,0,0,1779688168,YouTube
192.168.1.1,192.168.1.4,53,62833,UDP,1,145,145,145,145,0,0,0,0,1779688168,YouTube
192.168.1.4,192.168.1.1,53288,53,UDP,1,96,96,96,96,0,0,0,0,1779688168,YouTube
192.168.1.4,192.168.1.1,61726,53,UDP,1,96,96,96,96,0,0,0,0,1779688168,YouTube
192.168.1.4,192.168.1.1,63980,53,UDP,1,96,96,96,96,0,0,0,0,1779688168,YouTube
192.168.1.4,142.250.207.70,1055,443,TCP,1,66,66,66,66,0,0,0,0,1779688168,YouTube
192.168.1.1,192.168.1.4,53,58054,UDP,1,365,365,365,365,0,0,0,0,1779688168,YouTube
192.168.1.1,192.168.1.4,53,50039,UDP,1,221,221,221,221,0,0,0,0,1779688168,YouTube
192.168.1.1,192.168.1.4,53,60924,UDP,1,124,124,124,124,0,0,0,0,1779688168,YouTube
192.168.1.4,104.114.67.71,9583,443,TCP,2,108,54,54,54,0.2877,0.287716,0.287716,0.287716,1779688168,YouTube
192.168.1.4,116.119.199.78,2935,443,TCP,1,66,66,66,66,0,0,0,0,1779688168,YouTube
