src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,mean_packet_size,min_packet_size,max_packet_size,flow_duration,mean_iat,min_iat,max_iat,start_time,label,true_label,ssl_label
192.168.1.4,192.168.1.1,6339,53,TCP,3,198,66.0,66,66,3.005461,1.50273,1.004276,2.001184,1779695804.6081288,Browsing,Browsing,-1
35.186.253.211,192.168.1.4,443,9156,TCP,25,7256,290.24,54,2554,246.43129,10.26797,0.0,45.109528,1779695835.4015248,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,11327,53,TCP,3,198,66.0,66,66,3.015921,1.507961,1.006752,2.009169,1779695806.3486898,Browsing,Browsing,-1
192.168.1.4,4.213.25.242,1038,443,TCP,150,24123,160.82,54,1304,277.606188,1.863129,0.0,53.63723,1779776265.663427,Gaming,Gaming,-1
192.168.1.4,34.206.106.104,6967,443,TCP,16,3334,208.375,54,1304,61.077269,4.071818,0.0,45.298274,1779695896.6248014,Browsing,Browsing,-1
192.168.1.4,34.36.216.150,1165,443,TCP,23,4979,216.47826086956522,54,1304,260.73502,11.851592,0.0,45.122944,1779695820.0994473,Browsing,Browsing,-1
34.111.79.67,192.168.1.4,443,5828,TCP,19,8093,425.94736842105266,54,2554,271.07495,15.059719,1e-06,45.128757,1779695818.9243422,Browsing,Browsing,-1
192.168.1.4,20.42.179.192,8237,443,TCP,13,2267,174.3846153846154,54,1110,2.111884,0.17599,1.1e-05,0.39264,1779775840.7029295,Download,Download,-1
192.168.1.4,224.0.0.252,54765,5355,UDP,2,146,73.0,73,73,0.411992,0.411992,0.411992,0.411992,1779776415.2402,Gaming,Gaming,-1
192.168.1.4,69.173.158.64,4787,443,TCP,10,2772,277.2,54,1304,65.20123,7.244581,0.0,44.953794,1779695820.9469583,Browsing,Browsing,-1
192.168.1.4,192.168.1.1,58366,53,UDP,1,75,75.0,75,75,0.0,0.0,0.0,0.0,1779776423.551937,Gaming,Gaming,-1
34.98.114.90,192.168.1.4,443,5881,TCP,14,3047,217.64285714285714,54,981,6.643332,0.511026,0.0,2.470868,1779695903.396161,Browsing,Browsing,-1
192.168.1.4,52.43.24.202,8942,443,TCP,32,21663,676.96875,54,1304,110.227042,3.555711,0.0,108.401345,1779690970.6534126,meet,meet,-1
192.168.1.1,192.168.1.4,53,55926,UDP,1,132,132.0,132,132,0.0,0.0,0.0,0.0,1779688169.5554295,YouTube,YouTube,-1
192.168.1.4,23.215.60.56,11982,80,TCP,5,436,87.2,54,208,0.102886,0.025721,0.000154,0.05502,1779776462.4983578,Gaming,Gaming,-1
23.208.65.107,192.168.1.4,443,5890,TCP,12,9502,791.8333333333334,54,3804,107.50509,9.77319,1e-06,107.276851,1779775725.6302764,Download,Download,-1
192.168.1.4,82.145.213.8,12825,443,TCP,12,3335,277.9166666666667,54,1304,83.069032,7.55173,0.0,45.006106,1779695842.353989,Browsing,Browsing,-1
192.168.1.1,192.168.1.4,53,49247,UDP,1,188,188.0,188,188,0.0,0.0,0.0,0.0,1779776335.3039272,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,60014,53,UDP,1,85,85.0,85,85,0.0,0.0,0.0,0.0,1779695816.3969514,Browsing,Browsing,-1
34.160.55.127,192.168.1.4,443,3247,TCP,20,2535,126.75,54,672,11.621258,0.611645,0.0,9.942322,1779776343.0460505,Gaming,Gaming,-1
192.168.1.4,18.67.161.112,3268,443,TCP,8,2334,291.75,54,1304,0.911272,0.130182,0.0,0.327799,1779776348.9452817,Gaming,Gaming,-1
192.168.1.4,224.0.0.252,55193,5355,UDP,2,146,73.0,73,73,0.416644,0.416644,0.416644,0.416644,1779776291.6527424,Gaming,Gaming,-1
192.168.1.4,224.0.0.252,53435,5355,UDP,2,146,73.0,73,73,0.41474,0.41474,0.41474,0.41474,1779776474.5203454,Gaming,Gaming,-1
192.168.1.4,192.168.1.1,4266,53,TCP,4,264,66.0,66,66,7.029082,2.343027,1.011131,4.015781,1779776409.6564384,Gaming,Gaming,-1
